match_id,team1_champ_kills,team1_baron_kills,team1_drag_kills,team1_herald_kills,team1_tower_kills,team1_inhib_kills,team1_total_gold,team1_total_dmg,team1_win,team2_champ_kills,team2_baron_kills,team2_drag_kills,team2_herald_kills,team2_tower_kills,team2_inhib_kills,team2_total_gold,team2_total_dmg,team2_win
NA1_4489448736,23,0,2,2,9,1,43730,57405,1,8,0,0,0,0,0,28934,36746,0
NA1_4469829173,32,1,2,2,8,1,58918,76450,1,13,0,1,0,3,0,43508,78428,0
NA1_4450831718,27,1,3,0,7,1,50531,74664,1,14,0,0,1,2,0,40421,53234,0
NA1_4480349044,29,1,3,2,9,3,62311,112754,1,24,1,1,0,4,0,57992,89072,0
NA1_4458152070,15,0,0,1,3,0,48531,79184,0,32,1,3,1,6,1,58989,72483,1
NA1_4507238189,36,1,1,2,8,1,66364,98928,1,29,0,3,0,5,1,56493,118866,0
NA1_4492731757,20,0,0,0,3,0,58315,88519,0,41,2,5,2,10,2,70320,123232,1
NA1_4478653074,36,1,3,1,8,1,82385,151458,0,38,1,3,1,10,1,88695,191382,1
NA1_4472846262,12,0,2,1,3,0,42829,48889,0,24,0,2,1,4,0,50834,63627,1
NA1_4488073973,32,0,3,1,5,0,52555,73282,1,15,1,0,1,4,0,47691,61615,0
NA1_4479265854,19,0,0,2,2,0,34518,44744,1,14,0,1,0,0,0,29748,37296,0
NA1_4405615920,1,0,0,0,0,0,20632,19477,0,18,0,1,1,5,0,34833,34589,1
NA1_4402629342,30,0,2,2,10,2,47848,52190,1,4,0,0,0,0,0,24730,26060,0
NA1_4471514245,35,1,1,1,8,1,59555,75514,1,21,0,2,0,6,0,53182,76570,0
NA1_4471502900,15,0,0,1,1,0,40246,53625,0,34,1,2,1,10,2,55300,79842,1
NA1_4484096465,21,0,0,2,2,0,51990,80652,0,37,2,4,0,9,2,70142,142658,1
NA1_4481132931,21,0,1,0,2,0,47058,86071,0,35,1,2,2,10,2,58906,90067,1
NA1_4427886902,30,1,3,0,6,1,52377,76686,1,23,0,0,2,6,0,48399,62129,0
NA1_4440282030,25,0,2,1,2,0,57708,85054,0,22,2,3,0,10,1,63537,97220,1
NA1_4409733915,34,0,1,1,6,1,72650,108343,0,35,3,4,1,10,3,83276,156978,1
NA1_4505910248,13,0,0,1,0,0,37320,41718,0,32,1,3,1,6,1,50656,72001,1
NA1_4500617610,2,0,0,0,1,0,30337,20382,0,9,1,3,2,5,0,44629,42096,1
NA1_4487630858,20,0,1,2,10,2,45052,55292,1,4,0,1,0,0,0,31480,40457,0
NA1_4478093580,24,1,2,0,3,0,62801,128279,0,36,1,3,2,10,2,74180,111291,1
NA1_4508817460,14,0,0,0,2,0,49962,73371,0,36,1,4,2,11,3,65661,87251,1
NA1_4476698059,30,0,0,1,6,0,40580,53523,1,12,0,1,0,1,0,31545,38711,0
NA1_4467567158,11,0,0,0,0,0,29084,40091,0,23,0,2,1,6,1,41665,51905,1
NA1_4500758041,19,0,1,0,1,0,47402,80265,0,32,1,3,2,8,1,58855,92944,1
NA1_4476467445,47,1,4,0,7,1,68905,123866,1,20,0,0,2,5,0,57206,98641,0
NA1_4490819063,29,0,2,2,6,1,47981,68942,1,13,0,1,0,0,0,36806,52467,0
NA1_4497767544,28,1,2,2,10,2,52913,88321,1,17,0,1,0,0,0,41827,71990,0
NA1_4447670607,30,0,0,1,3,0,55410,114520,0,58,1,3,1,10,2,69411,174783,1
NA1_4468772370,21,0,2,1,5,0,39223,46559,1,8,0,0,0,0,0,26525,35570,0
NA1_4486623685,17,0,1,0,0,0,37489,60337,0,46,0,2,2,11,2,55466,86582,1
NA1_4481284178,28,0,0,0,5,0,53477,92529,0,35,1,2,1,10,1,64631,94850,1
NA1_4468221779,32,1,1,0,8,2,64832,126824,1,23,0,3,2,3,0,57788,106465,0
NA1_4487014322,11,0,1,0,0,0,39921,51385,0,35,1,2,2,11,3,55635,70725,1
NA1_4492537205,30,0,1,1,4,0,63307,90606,0,42,1,3,1,10,2,69953,136953,1
NA1_4504898816,39,0,1,1,8,1,45971,62008,1,6,0,0,0,0,0,23828,24341,0
NA1_4432257028,19,0,3,1,3,0,40303,57633,1,9,0,0,1,1,0,35664,47497,0
NA1_4454239934,41,1,3,1,10,1,65786,113529,1,35,1,1,1,4,0,61081,101473,0
NA1_4405469373,32,1,0,2,5,0,54489,77348,1,18,0,3,0,3,0,44741,62555,0
NA1_4438929919,28,1,1,2,5,0,62218,98027,0,37,1,3,0,9,1,71296,123151,1
NA1_4504167969,32,0,0,2,3,0,58396,122333,0,40,1,4,0,11,4,68390,145140,1
NA1_4461352660,28,2,1,2,9,2,69786,109213,1,27,0,3,0,2,0,59652,89118,0
NA1_4489874791,20,1,1,2,7,2,71186,106839,1,26,2,4,0,7,1,72156,103806,0
NA1_4475942140,26,1,3,1,2,0,42900,60210,1,17,0,0,1,1,0,38751,46961,0
NA1_4503161529,38,1,2,0,8,2,59937,96521,1,23,0,2,1,3,0,52645,88083,0
NA1_4475546716,19,0,0,0,1,0,40326,55412,0,32,0,2,1,5,0,47325,76721,1
NA1_4450223010,13,0,1,2,2,0,39850,71348,0,32,1,1,0,4,0,48825,76903,1
NA1_4509793691,8,0,2,1,0,0,25264,21737,0,13,0,0,0,2,0,30007,32848,1
NA1_4481374225,23,0,0,0,1,0,52087,91369,0,42,1,4,2,11,2,65455,102716,1
NA1_4484472503,36,1,2,0,8,1,61131,107822,1,25,0,2,1,3,0,52187,104508,0
NA1_4495665917,39,0,3,1,7,1,68936,129272,1,32,1,1,1,5,0,67501,104821,0
NA1_4478619631,37,0,2,1,8,1,67646,150425,0,48,2,2,0,9,1,73201,127909,1
NA1_4414522191,29,1,1,2,7,1,52057,79939,1,11,0,2,0,2,0,38875,55296,0
NA1_4463182172,23,1,2,2,6,0,56634,92046,0,29,0,2,0,7,1,59425,81719,1
NA1_4504527905,20,0,0,0,2,0,52256,74399,0,42,1,4,2,10,2,67491,121914,1
NA1_4460441567,25,0,0,0,4,0,50091,85700,0,32,1,3,2,6,0,55170,84932,1
NA1_4430114972,21,0,2,0,1,0,46209,81000,0,28,1,2,1,8,2,53835,74825,1
NA1_4482754668,38,0,2,2,4,0,63299,126753,0,34,1,2,0,9,2,66978,116450,1
NA1_4477022506,27,0,1,2,7,0,45874,53974,1,9,0,1,0,0,0,33102,43602,0
NA1_4443167824,51,1,3,2,11,2,84829,171847,1,58,1,2,0,8,1,81219,199733,0
NA1_4450520954,24,0,0,1,4,0,54854,90501,0,37,1,3,1,9,1,62122,101610,1
NA1_4470129329,32,1,1,0,4,1,60090,100220,0,50,0,3,2,11,3,67525,126117,1
NA1_4471053654,26,1,2,0,7,1,58403,113378,1,24,0,2,2,7,1,53912,91896,0
NA1_4425597234,30,1,3,1,8,2,62714,104471,1,19,0,1,1,4,0,48999,69595,0
